Parameter,ParamName,Category,Habitat,Community,Fisheries_FoodProvision,NaturalProducts_Krill,IconicSpecies_Conservation,SpecialPlaces_Protection,Tourism_Recreation,CleanWater_NutrientCycling,SpeciesDiversity_FoodWeb,HabitatIntegrity,CarbonStorage_Cycling,Goal,ServiceCategory
Phytoplankton abundance & diversity,Phytoplankton_Abund_&_Div_WaterCol_Protist,Biological,Water column,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Pigment composition,Pigment_Comp_UIW_Protist,Biological,UIW,Protist,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Pigment composition,Pigment_Comp_SeaIce_Protist,Biological,Sea ice,Protist,6,9,6,6,4,8,8,8,7,NaturalProducts_Krill,Provisioning
Pigment composition,Pigment_Comp_WaterCol_Protist,Biological,Water column,Protist,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Photophysiology (WaterPam),Photophysiology_WaterPam_SeaIce_Protist,Biological,Sea ice ,Protist,5,8,6,6,4,8,8,8,7,NaturalProducts_Krill,Provisioning
Photophysiology (WaterPam),Photophysiology_WaterPam_UIW_Protist,Biological,UIW,Protist,5,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Photophysiology (WaterPam),Photophysiology_WaterPam_WaterCol_Protist,Biological,Water column,Protist,5,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Cell abundance (bacteria and phytoplankton),Cell_Abund_bacteria_SeaIce_Protist,Biological,Sea ice ,Protist,6,9,7,7,4,9,9,8,8,NaturalProducts_Krill,Provisioning
Cell abundance (bacteria and phytoplankton),Cell_Abund_bacteria_UIW_Protist,Biological,UIW,Protist,6,9,7,7,4,9,9,8,8,NaturalProducts_Krill,Provisioning
Cell abundance (bacteria and phytoplankton),Cell_Abund_bacteria_WaterCol_Protist,Biological,Water column,Protist,6,9,7,7,4,9,9,8,8,NaturalProducts_Krill,Provisioning
Ice-algae mesoscale biomass distribution,Ice_algae_mesoscale_SeaIce_Protist,Biological,Sea ice,Protist,6,10,7,7,5,8,9,9,8,NaturalProducts_Krill,Provisioning
Protists taxonomy – diversity,Protists_taxonomy_Div_WaterCol_Protists,Biological,Water column,Protists,6,8,7,7,4,8,9,8,7,SpeciesDiversity_FoodWeb,Supporting
Protists taxonomy – abundance,Protists_taxonomy_Abund_WaterCol_Protists,Biological,Water column,Protists,6,9,7,7,4,8,9,8,7,NaturalProducts_Krill,Provisioning
Protists taxonomy – turnover,Protists_taxonomy_turnove_WaterCol_Protists,Biological,Water column,Protists,6,8,7,7,4,8,9,8,7,SpeciesDiversity_FoodWeb,Supporting
Fluorescence,Fluorescence_watercolumn_Protist,BGC,water column,Protist,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Chlorophyll a concentration,Chl_a_Conc_SeaIce_Protist,Biological,Sea ice,Protist,7,10,7,7,5,8,9,9,8,NaturalProducts_Krill,Provisioning
Chlorophyll a concentration,Chl_a_Conc_WaterCol_Protist,Biological,Water column,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Chlorophyll a concentration,Chl_a_Conc_UIW_Protist,Biological,UIW,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Primary production + DMSP production,Primary_Prod_+_DMSP_Prod_WaterCol_Protist,Biological,Water column,Protist,7,9,7,7,4,9,9,8,9,NaturalProducts_Krill,Provisioning
Primary production + DMSP production,Primary_Prod_+_DMSP_Prod_UIW_Protist,Biological,UIW,Protist,7,9,7,7,4,9,9,8,9,NaturalProducts_Krill,Provisioning
Primary production + DMSP production,Primary_Prod_+_DMSP_Prod_SeaIce,Biological,Sea ice,,7,10,7,7,4,9,9,9,9,NaturalProducts_Krill,Provisioning
POM stable isotope composition (C&N),POM_stable_isotope_SeaIce,Biological,Sea ice,,6,8,7,7,4,8,8,8,8,NaturalProducts_Krill,Provisioning
POM stable isotope composition (C&N),POM_stable_isotope_WaterCol,Biological,Water column,,7,8,7,7,4,8,8,7,8,NaturalProducts_Krill,Provisioning
POM stable isotope composition (C&N),POM_stable_isotope_UIW,Biological,UIW,,7,8,7,7,4,8,8,8,8,NaturalProducts_Krill,Provisioning
Nutrient concentrations,Nutrient_Concs_UIW,BGC,UIW,,7,9,7,7,4,10,9,8,8,CleanWater_NutrientCycling,Supporting
Nutrient concentrations,Nutrient_Concs_SeaIce,BGC,Sea ice,,6,9,7,7,4,10,9,8,7,CleanWater_NutrientCycling,Supporting
Nutrient concentrations,Nutrient_Concs_WaterCol,BGC,Water column,,7,9,7,7,4,10,9,8,8,CleanWater_NutrientCycling,Supporting
Sinking particles – POC,Sinking_particles_POC_WaterCol,BGC,Water column,,5,7,6,7,3,8,7,7,9,CarbonStorage_Cycling,Regulating
Sinking particles – PON,Sinking_particles_PON_WaterCol,BGC,Water column,,5,7,6,7,3,9,7,7,9,CarbonStorage_Cycling,Regulating
Sinking particles – POP,Sinking_particles_POP_WaterCol,BGC,Water column,,5,7,6,7,3,9,7,7,8,CleanWater_NutrientCycling,Supporting
Sinking particles – bSI,Sinking_particles_bSI_WaterCol,BGC,Water column,,5,7,6,7,3,8,7,7,8,CarbonStorage_Cycling,Regulating
Particulate Organic Matter (POC/PON),Particulate_Organic_Matter_SeaIce,BGC,Sea ice ,,5,8,6,7,3,9,8,8,9,CarbonStorage_Cycling,Regulating
Particulate Organic Matter (POC/PON),Particulate_Organic_Matter_UIW,BGC,UIW,,6,8,6,7,3,9,8,8,9,CarbonStorage_Cycling,Regulating
Particulate Organic Matter (POC/PON),Particulate_Organic_Matter_WaterCol,BGC,Water column,,6,8,6,7,3,9,8,7,9,CarbonStorage_Cycling,Regulating
Biogenic Silica,Biogenic_Silica_SeaIce,BGC,Sea ice,,5,8,6,7,3,9,7,8,7,CleanWater_NutrientCycling,Supporting
Biogenic Silica,Biogenic_Silica_WaterCol,BGC,Water column,,5,8,6,7,3,9,7,7,8,CleanWater_NutrientCycling,Supporting
Biogenic Silica,Biogenic_Silica_Seafloor,BGC,Seafloor,,5,7,6,7,3,9,7,8,8,CleanWater_NutrientCycling,Supporting
Extracellular polymeric substance,Extracellular_polymeric_s_SeaIce,BGC,Sea ice,,4,7,5,6,3,8,7,8,7,CleanWater_NutrientCycling,Supporting
Extracellular polymeric substance,Extracellular_polymeric_s_UIW,BGC,UIW,,4,7,5,6,3,8,7,7,7,CleanWater_NutrientCycling,Supporting
Sediment oxygen demand,Sediment_oxygen_demand_Seafloor_Benthic,BGC,Seafloor,Benthic community,5,6,6,8,3,9,7,9,8,CleanWater_NutrientCycling,Supporting
Nutrient fluxes – N,Nutrient_fluxes_N_Seafloor_Benthic,BGC,Seafloor,Benthic community,6,7,6,8,3,10,8,9,9,CleanWater_NutrientCycling,Supporting
Nutrient fluxes – P,Nutrient_fluxes_P_Seafloor_Benthic,BGC,Seafloor,Benthic community,6,7,6,8,3,10,8,9,9,CleanWater_NutrientCycling,Supporting
Nutrient fluxes – Si,Nutrient_fluxes_Si_Seafloor_Benthic,BGC,Seafloor,Benthic community,6,8,6,8,3,10,8,9,9,CleanWater_NutrientCycling,Supporting
Sediment pigment concentration,Sediment_pigment_Conc_Seafloor_Benthic,BGC,Seafloor,Benthic community,5,7,6,8,3,8,7,9,8,HabitatIntegrity,Regulating
Sediment porosity,Sediment_porosity_Seafloor,BGC,Seafloor,,4,5,5,7,3,7,6,8,7,HabitatIntegrity,Regulating
Sediment total organic carbon,Sediment_total_organic_Seafloor,BGC,Seafloor,,5,6,6,8,3,9,7,9,9,CarbonStorage_Cycling,Regulating
Sediment total nitrogen,Sediment_total_nitrogen_Seafloor,BGC,Seafloor,,5,6,6,8,3,9,7,9,9,CarbonStorage_Cycling,Regulating
Sediment grain size,Sediment_grain_size_Seafloor,BGC,Seafloor,,4,5,5,7,3,6,6,8,6,HabitatIntegrity,Regulating
Sediment bromide depth profile,Sediment_bromide_depth_Seafloor,BGC,Seafloor,,3,4,4,7,2,7,6,7,6,CleanWater_NutrientCycling,Supporting
Sediment luminophore concentration (depth profile),Sediment_luminophore_Conc_Seafloor,BGC,Seafloor,,4,5,5,7,3,7,6,8,7,HabitatIntegrity,Regulating
14 C org,14_C_org_Seafloor,BGC,Seafloor,,4,5,5,8,3,8,6,8,9,CarbonStorage_Cycling,Regulating
210 Pb ,210_Pb_Seafloor,BGC,Seafloor,,3,4,4,7,2,6,5,7,7,CarbonStorage_Cycling,Regulating
Sea floor backscatter,Sea_floor_backscatter_Seafloor,Geological,Seafloor,,6,5,6,8,4,6,7,9,5,HabitatIntegrity,Regulating
Bathymetry,Bathymetry_Seafloor,Geological,Seafloor,,6,6,7,8,5,6,7,9,5,HabitatIntegrity,Regulating
Acoustic backscatter,Acoustic_backscatter_WaterCol,Physical,Water column,,6,7,6,6,4,6,7,7,5,NaturalProducts_Krill,Provisioning
