Parameter,ParamName,FullName,Category,Habitat,Community,Fisheries_FoodProvision,NaturalProducts_Krill,IconicSpecies_Conservation,SpecialPlaces_Protection,Tourism_Recreation,CleanWater_NutrientCycling,SpeciesDiversity_FoodWeb,HabitatIntegrity,CarbonStorage_Cycling,Goal,ServiceCategory
Temperature,Temperature_UIW,"Temperature
UIW",Physical,UIW,,7,9,8,8,5,8,8,9,6,NaturalProducts_Krill,Provisioning
Turbidity,Turbidity_WaterCol_BGC,"Turbidity
Water column",BGC,Water column,,5,6,5,6,4,7,6,7,5,CleanWater_NutrientCycling,Supporting
Turbidity,Turbidity_WaterCol_Physical,"Turbidity
Water column",Physical,Water column,,5,6,5,6,4,7,6,7,5,CleanWater_NutrientCycling,Supporting
Particle absorption,Particle_absorption_WaterCol,"Particle absorption
Water column",BGC,Water column,,5,7,5,6,4,7,7,7,6,NaturalProducts_Krill,Provisioning
Radiance,Radiance_UIW_Atmos,"Radiance
UIW/ atmo",Physical,UIW/ atmo,,4,6,5,6,5,6,6,6,6,NaturalProducts_Krill,Provisioning
Irradiance,Irradiance_UIW_Atmos,"Irradiance
UIW/ atmo",Physical,UIW/ atmo,,5,7,6,6,5,7,7,7,7,NaturalProducts_Krill,Provisioning
Low irradiance,Low_irradiance_UIW,"Low irradiance
UIW",Physical,UIW,,5,7,6,6,4,7,7,7,6,NaturalProducts_Krill,Provisioning
Sea floor backscatter,Sea_floor_backscatter_Seafloor,"Sea floor backscatter
Seafloor",Geological,Seafloor,,6,5,6,8,4,6,7,9,5,HabitatIntegrity,Regulating
Water current velocities,Water_current_velocities_WaterCol,"Water current velocities
Water column",Physical,Water column,,6,7,6,7,4,8,7,7,7,CleanWater_NutrientCycling,Supporting
Fluorescence,Fluorescence_UIW,"Fluorescence
UIW",BGC,UIW,,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Snow depth,Snow_depth_Snow,"Snow depth
Snow",Physical,Snow,,4,7,7,7,5,6,7,8,5,HabitatIntegrity,Regulating
Snow density,Snow_density_Snow,"Snow density
Snow",Physical,Snow,,3,6,6,6,4,5,6,7,5,HabitatIntegrity,Regulating
Snow temperature,Snow_Temp_Snow,"Snow temperature
Snow",Physical,Snow,,4,6,6,6,4,6,6,7,5,HabitatIntegrity,Regulating
Sea ice observations,Sea_ice_Obs_SeaIce,"Sea ice observations
Sea ice",Physical,Sea ice,,6,9,8,8,6,7,8,9,6,NaturalProducts_Krill,Provisioning
Sea ice cover,Sea_ice_cover_SeaIce,"Sea ice cover
Sea ice",Physical,Sea ice,,7,9,9,8,6,7,9,9,7,IconicSpecies_Conservation,Cultural
Sea ice thickness,Sea_ice_thickness_SeaIce,"Sea ice thickness
Sea ice",Physical,Sea ice,,6,9,8,8,6,7,8,9,6,NaturalProducts_Krill,Provisioning
Under-ice images,Under_ice_images_UIW,"Under-ice images
UIW",Physical,UIW,,6,8,7,7,6,6,8,8,5,NaturalProducts_Krill,Provisioning
Sea ice growth,Sea_ice_growth_SeaIce,"Sea ice growth
Sea ice",Physical,Sea ice,,6,9,8,8,5,7,8,9,6,NaturalProducts_Krill,Provisioning
Ice-coring site properities – Freeboard,Ice_coring_site_SeaIce_freeboard,"Ice-coring site properities – Freeboard
Sea ice",Physical,Sea ice,,5,8,7,7,4,6,7,8,5,NaturalProducts_Krill,Provisioning
Ice-coring site properities – Core length,Ice_coring_site_SeaIce_corelength,"Ice-coring site properities – Core length
Sea ice",Physical,Sea ice,,5,8,7,7,4,6,7,8,5,NaturalProducts_Krill,Provisioning
Ice-coring site properities – Sea ice thickness,Ice_coring_site_SeaIce_thickness,"Ice-coring site properities – Sea ice thickness
Sea ice",Physical,Sea ice,,6,9,8,8,5,7,8,9,6,NaturalProducts_Krill,Provisioning
Under-ice stereo images,Under_ice_stereo_images_UIW,"Under-ice stereo images
UIW",Biological,UIW,,6,8,7,7,6,6,8,8,5,NaturalProducts_Krill,Provisioning
Epifauna abundance,Epifauna_Abund_Seafloor,"Epifauna abundance
Seafloor",Biological,Seafloor,,6,6,6,8,4,7,8,9,6,HabitatIntegrity,Regulating
Epifauna biodiversity,Epifauna_bioDiv_Seafloor,"Epifauna biodiversity
Seafloor",Biological,Seafloor,,6,6,7,8,5,7,9,9,6,SpeciesDiversity_FoodWeb,Supporting
Mesozooplankton diversity,Mesozooplankton_Div_WaterCol_Metazoa,"Mesozooplankton diversity
Water column
Metazoans",Biological,Water column,Metazoans,7,8,7,7,4,8,9,8,6,SpeciesDiversity_FoodWeb,Supporting
Mesozooplankton distribution,Mesozooplankton_Dist_WaterCol_Metazoa,"Mesozooplankton distribution
Water column
Metazoans",Biological,Water column,Metazoans,7,8,7,7,4,7,9,8,6,SpeciesDiversity_FoodWeb,Supporting
Macrofauna diversity,Macrofauna_Div_UIW_Macrofauna,"Macrofauna diversity
UIW
Macrofauna",Biological,UIW,Macrofauna,6,7,7,7,5,7,9,8,5,SpeciesDiversity_FoodWeb,Supporting
Macrofauna abundance,Macrofauna_Abund_UIW_Macrofauna,"Macrofauna abundance
UIW
Macrofauna",Biological,UIW,Macrofauna,6,7,7,7,5,7,8,8,5,SpeciesDiversity_FoodWeb,Supporting
Macrofauna diversity,Macrofauna_Div_WaterCol_Macrofauna,"Macrofauna diversity
Water column
Macrofauna",Biological,Water column,Macrofauna,6,7,7,7,4,7,9,8,5,SpeciesDiversity_FoodWeb,Supporting
Macrofauna abundance,Macrofauna_Abund_WaterCol_Macrofauna,"Macrofauna abundance
Water column
Macrofauna",Biological,Water column,Macrofauna,6,7,7,7,4,7,8,8,5,SpeciesDiversity_FoodWeb,Supporting
Macrofauna biomass,Macrofauna_Biomass_WaterCol_Macrofauna,"Macrofauna biomass
Water column
Macrofauna",Biological,Water column,Macrofauna,7,8,7,7,4,7,8,8,6,NaturalProducts_Krill,Provisioning
Benthic macrofauna diversity,Benthic_macrofauna_Div_Seafloor_Macrofauna,"Benthic macrofauna diversity
Seafloor
Macrofauna",BGC,Seafloor,Macrofauna,6,6,6,8,4,8,9,9,7,SpeciesDiversity_FoodWeb,Supporting
Mesofauna diversity,Mesofauna_Div_UIW_Mesofauna,"Mesofauna diversity
UIW
Mesofauna",Biological,UIW,Mesofauna,5,7,6,7,4,7,8,8,5,SpeciesDiversity_FoodWeb,Supporting
Mesofauna diversity,Mesofauna_Div_WaterCol_Mesofauna,"Mesofauna diversity
Water column
Mesofauna",Biological,Water column,Mesofauna,5,7,6,7,4,7,8,8,5,SpeciesDiversity_FoodWeb,Supporting
Mesofauna abundance,Mesofauna_Abund_UIW_Mesofauna,"Mesofauna abundance
UIW
Mesofauna",Biological,UIW,Mesofauna,5,7,6,7,4,7,8,8,5,SpeciesDiversity_FoodWeb,Supporting
Mesofauna abundance,Mesofauna_Abund_WaterCol_Mesofauna,"Mesofauna abundance
Water column
Mesofauna",Biological,Water column,Mesofauna,5,7,6,7,4,7,8,8,5,SpeciesDiversity_FoodWeb,Supporting
Predator abundance – Leopard seal,Predator_Abund_Leopard,Predator abundance – Leopard seal,Biological,,,6,7,10,9,9,5,9,8,4,IconicSpecies_Conservation,Cultural
Predator abundance – Weddell seal,Predator_Abund_Weddell,Predator abundance – Weddell seal,Biological,,,6,7,10,9,9,5,9,8,4,IconicSpecies_Conservation,Cultural
Predator abundance – Crabeater seal,Predator_Abund_Crabeater,Predator abundance – Crabeater seal,Biological,,,6,8,10,9,9,6,9,8,4,IconicSpecies_Conservation,Cultural
Predator abundance – Elephant seal,Predator_Abund_Elephant,Predator abundance – Elephant seal,Biological,,,6,7,10,9,9,5,9,8,4,IconicSpecies_Conservation,Cultural
Predator abundance – Minke whale,Predator_Abund_Minke,Predator abundance – Minke whale,Biological,,,7,8,10,9,9,6,9,8,5,IconicSpecies_Conservation,Cultural
Predator abundance – Blue whale,Predator_Abund_Blue_whale,Predator abundance – Blue whale,Biological,,,6,7,10,9,9,6,9,8,5,IconicSpecies_Conservation,Cultural
Predator abundance – Fin whale,Predator_Abund_Fin_whale,Predator abundance – Fin whale,Biological,,,6,7,10,9,9,6,9,8,5,IconicSpecies_Conservation,Cultural
Predator abundance – Humpback whale,Predator_Abund_Humpback,Predator abundance – Humpback whale,Biological,,,7,8,10,9,9,6,9,8,5,IconicSpecies_Conservation,Cultural
Predator abundance – Sperm whale,Predator_Abund_Sperm,Predator abundance – Sperm whale,Biological,,,7,7,10,9,9,6,9,8,5,IconicSpecies_Conservation,Cultural
Predator abundance – Orca,Predator_Abund_Orca,Predator abundance – Orca,Biological,,,7,7,10,9,9,6,9,8,5,IconicSpecies_Conservation,Cultural
Predator diversity,Predator_Div,Predator diversity,Biological,,,7,8,10,9,9,6,9,9,5,IconicSpecies_Conservation,Cultural
Under shelf biodiversity,Under_shelf_bioDiv_UnderShelf_Macrofauna,"Under shelf biodiversity
Under shelf
Macrofauna",Biological,Under shelf,Macrofauna,5,6,7,9,4,7,8,9,6,HabitatIntegrity,Regulating
eDNA/Benthic fish biodiversity,eDNABenthic_fish_bioDiv_Seafloor,"eDNA/Benthic fish biodiversity
Seafloor",Biological,Seafloor,,8,6,7,8,4,7,9,9,5,SpeciesDiversity_FoodWeb,Supporting
Benthic biodiversity,Benthic_bioDiv_Seafloor,"Benthic biodiversity
Seafloor",Biological,Seafloor,,7,6,7,8,5,7,9,9,6,SpeciesDiversity_FoodWeb,Supporting
Fish condition,Fish_Cond_WaterCol_Fish,"Fish condition
Water column
Fish",Biological,Water column,Fish,9,7,8,7,4,6,8,8,5,Fisheries_FoodProvision,Provisioning
Fish condition,Fish_Cond_UIW_Fish,"Fish condition
UIW
Fish",Biological,UIW,Fish,9,7,8,7,4,6,8,8,5,Fisheries_FoodProvision,Provisioning
Fish diversity,Fish_Div_WaterCol_Fish,"Fish diversity
Water column
Fish",Biological,Water column,Fish,8,7,8,7,5,6,9,8,5,SpeciesDiversity_FoodWeb,Supporting
Fish condition,Fish_Cond_Seafloor_Fish,"Fish condition
Seafloor
Fish",Biological,Seafloor,Fish,9,6,7,7,3,6,8,8,5,Fisheries_FoodProvision,Provisioning
Fish diversity,Fish_Div_Seafloor_Fish,"Fish diversity
Seafloor
Fish",Biological,Seafloor,Fish,8,6,7,8,4,6,9,9,5,SpeciesDiversity_FoodWeb,Supporting
Ice algae abundance,Ice_algae_Abund_SeaIce_Protist,"Ice algae abundance
Sea ice
Protist",Biological,Sea ice,Protist,6,10,7,7,5,8,9,9,8,NaturalProducts_Krill,Provisioning
Ice algae diversity,Ice_algae_Div_SeaIce_Protist,"Ice algae diversity
Sea ice
Protist",Biological,Sea ice,Protist,5,9,7,7,5,8,9,9,7,NaturalProducts_Krill,Provisioning
Phytoplankton abundance & diversity,Phytoplankton_Abund_&_Div_UIW_Protist,"Phytoplankton abundance & diversity
UIW
Protist",Biological,UIW,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Phytoplankton abundance & diversity,Phytoplankton_Abund_&_Div_WaterCol_Protist,"Phytoplankton abundance & diversity
Water column
Protist",Biological,Water column,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Pigment composition,Pigment_Comp_UIW_Protist,"Pigment composition
UIW
Protist",Biological,UIW,Protist,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Pigment composition,Pigment_Comp_SeaIce_Protist,"Pigment composition
Sea ice
Protist",Biological,Sea ice,Protist,6,9,6,6,4,8,8,8,7,NaturalProducts_Krill,Provisioning
Pigment composition,Pigment_Comp_WaterCol_Protist,"Pigment composition
Water column
Protist",Biological,Water column,Protist,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Photophysiology (WaterPam),Photophysiology_WaterPam_SeaIce_Protist,"Photophysiology (WaterPam)
Sea ice
Protist",Biological,Sea ice,Protist,5,8,6,6,4,8,8,8,7,NaturalProducts_Krill,Provisioning
Photophysiology (WaterPam),Photophysiology_WaterPam_UIW_Protist,"Photophysiology (WaterPam)
UIW
Protist",Biological,UIW,Protist,5,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Photophysiology (WaterPam),Photophysiology_WaterPam_WaterCol_Protist,"Photophysiology (WaterPam)
Water column
Protist",Biological,Water column,Protist,5,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Cell abundance (bacteria and phytoplankton),Cell_Abund_bacteria_SeaIce_Protist,"Cell abundance (bacteria and phytoplankton)
Sea ice
Protist",Biological,Sea ice,Protist,6,9,7,7,4,9,9,8,8,NaturalProducts_Krill,Provisioning
Cell abundance (bacteria and phytoplankton),Cell_Abund_bacteria_UIW_Protist,"Cell abundance (bacteria and phytoplankton)
UIW
Protist",Biological,UIW,Protist,6,9,7,7,4,9,9,8,8,NaturalProducts_Krill,Provisioning
Cell abundance (bacteria and phytoplankton),Cell_Abund_bacteria_WaterCol_Protist,"Cell abundance (bacteria and phytoplankton)
Water column
Protist",Biological,Water column,Protist,6,9,7,7,4,9,9,8,8,NaturalProducts_Krill,Provisioning
Ice-algae mesoscale biomass distribution,Ice_algae_mesoscale_SeaIce_Protist,"Ice-algae mesoscale biomass distribution
Sea ice
Protist",Biological,Sea ice,Protist,6,10,7,7,5,8,9,9,8,NaturalProducts_Krill,Provisioning
Protists taxonomy – diversity,Protists_taxonomy_Div_WaterCol_Protists,"Protists taxonomy – diversity
Water column
Protists",Biological,Water column,Protists,6,8,7,7,4,8,9,8,7,SpeciesDiversity_FoodWeb,Supporting
Protists taxonomy – abundance,Protists_taxonomy_Abund_WaterCol_Protists,"Protists taxonomy – abundance
Water column
Protists",Biological,Water column,Protists,6,9,7,7,4,8,9,8,7,NaturalProducts_Krill,Provisioning
Protists taxonomy – turnover,Protists_taxonomy_turnove_WaterCol_Protists,"Protists taxonomy – turnover
Water column
Protists",Biological,Water column,Protists,6,8,7,7,4,8,9,8,7,SpeciesDiversity_FoodWeb,Supporting
Fluorescence,Fluorescence_watercolumn_Protist,"Fluorescence
Water column
Protist",BGC,Water column,Protist,6,8,6,6,4,8,8,7,7,NaturalProducts_Krill,Provisioning
Chlorophyll a concentration,Chl_a_Conc_SeaIce_Protist,"Chlorophyll a concentration
Sea ice
Protist",Biological,Sea ice,Protist,7,10,7,7,5,8,9,9,8,NaturalProducts_Krill,Provisioning
Chlorophyll a concentration,Chl_a_Conc_WaterCol_Protist,"Chlorophyll a concentration
Water column
Protist",Biological,Water column,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Chlorophyll a concentration,Chl_a_Conc_UIW_Protist,"Chlorophyll a concentration
UIW
Protist",Biological,UIW,Protist,7,9,7,7,5,9,9,8,8,NaturalProducts_Krill,Provisioning
Primary production + DMSP production,Primary_Prod_+_DMSP_Prod_WaterCol_Protist,"Primary production + DMSP production
Water column
Protist",Biological,Water column,Protist,7,9,7,7,4,9,9,8,9,NaturalProducts_Krill,Provisioning
Primary production + DMSP production,Primary_Prod_+_DMSP_Prod_UIW_Protist,"Primary production + DMSP production
UIW
Protist",Biological,UIW,Protist,7,9,7,7,4,9,9,8,9,NaturalProducts_Krill,Provisioning
Primary production + DMSP production,Primary_Prod_+_DMSP_Prod_SeaIce,"Primary production + DMSP production
Sea ice",Biological,Sea ice,,7,10,7,7,4,9,9,9,9,NaturalProducts_Krill,Provisioning
POM stable isotope composition (C&N),POM_stable_isotope_SeaIce,"POM stable isotope composition (C&N)
Sea ice",Biological,Sea ice,,6,8,7,7,4,8,8,8,8,NaturalProducts_Krill,Provisioning
POM stable isotope composition (C&N),POM_stable_isotope_WaterCol,"POM stable isotope composition (C&N)
Water column",Biological,Water column,,7,8,7,7,4,8,8,7,8,NaturalProducts_Krill,Provisioning
POM stable isotope composition (C&N),POM_stable_isotope_UIW,"POM stable isotope composition (C&N)
UIW",Biological,UIW,,7,8,7,7,4,8,8,8,8,NaturalProducts_Krill,Provisioning
Nutrient concentrations,Nutrient_Concs_UIW,"Nutrient concentrations
UIW",BGC,UIW,,7,9,7,7,4,10,9,8,8,CleanWater_NutrientCycling,Supporting
Nutrient concentrations,Nutrient_Concs_SeaIce,"Nutrient concentrations
Sea ice",BGC,Sea ice,,6,9,7,7,4,10,9,8,7,CleanWater_NutrientCycling,Supporting
Nutrient concentrations,Nutrient_Concs_WaterCol,"Nutrient concentrations
Water column",BGC,Water column,,7,9,7,7,4,10,9,8,8,CleanWater_NutrientCycling,Supporting
Sinking particles – POC,Sinking_particles_POC_WaterCol,"Sinking particles – POC
Water column",BGC,Water column,,5,7,6,7,3,8,7,7,9,CarbonStorage_Cycling,Regulating
Sinking particles – PON,Sinking_particles_PON_WaterCol,"Sinking particles – PON
Water column",BGC,Water column,,5,7,6,7,3,9,7,7,9,CarbonStorage_Cycling,Regulating
Sinking particles – POP,Sinking_particles_POP_WaterCol,"Sinking particles – POP
Water column",BGC,Water column,,5,7,6,7,3,9,7,7,8,CleanWater_NutrientCycling,Supporting
Sinking particles – bSI,Sinking_particles_bSI_WaterCol,"Sinking particles – bSI
Water column",BGC,Water column,,5,7,6,7,3,8,7,7,8,CarbonStorage_Cycling,Regulating
Particulate Organic Matter (POC/PON),Particulate_Organic_Matter_SeaIce,"Particulate Organic Matter (POC/PON)
Sea ice",BGC,Sea ice,,5,8,6,7,3,9,8,8,9,CarbonStorage_Cycling,Regulating
Particulate Organic Matter (POC/PON),Particulate_Organic_Matter_UIW,"Particulate Organic Matter (POC/PON)
UIW",BGC,UIW,,6,8,6,7,3,9,8,8,9,CarbonStorage_Cycling,Regulating
Particulate Organic Matter (POC/PON),Particulate_Organic_Matter_WaterCol,"Particulate Organic Matter (POC/PON)
Water column",BGC,Water column,,6,8,6,7,3,9,8,7,9,CarbonStorage_Cycling,Regulating
Biogenic Silica,Biogenic_Silica_SeaIce,"Biogenic Silica
Sea ice",BGC,Sea ice,,5,8,6,7,3,9,7,8,7,CleanWater_NutrientCycling,Supporting
Biogenic Silica,Biogenic_Silica_WaterCol,"Biogenic Silica
Water column",BGC,Water column,,5,8,6,7,3,9,7,7,8,CleanWater_NutrientCycling,Supporting
Biogenic Silica,Biogenic_Silica_Seafloor,"Biogenic Silica
Seafloor",BGC,Seafloor,,5,7,6,7,3,9,7,8,8,CleanWater_NutrientCycling,Supporting
Extracellular polymeric substance,Extracellular_polymeric_s_SeaIce,"Extracellular polymeric substance
Sea ice",BGC,Sea ice,,4,7,5,6,3,8,7,8,7,CleanWater_NutrientCycling,Supporting
Extracellular polymeric substance,Extracellular_polymeric_s_UIW,"Extracellular polymeric substance
UIW",BGC,UIW,,4,7,5,6,3,8,7,7,7,CleanWater_NutrientCycling,Supporting
Sediment oxygen demand,Sediment_oxygen_demand_Seafloor_Benthic,"Sediment oxygen demand
Seafloor
Benthic community",BGC,Seafloor,Benthic community,5,6,6,8,3,9,7,9,8,CleanWater_NutrientCycling,Supporting
Nutrient fluxes – N,Nutrient_fluxes_N_Seafloor_Benthic,"Nutrient fluxes – N
Seafloor
Benthic community",BGC,Seafloor,Benthic community,6,7,6,8,3,10,8,9,9,CleanWater_NutrientCycling,Supporting
Nutrient fluxes – P,Nutrient_fluxes_P_Seafloor_Benthic,"Nutrient fluxes – P
Seafloor
Benthic community",BGC,Seafloor,Benthic community,6,7,6,8,3,10,8,9,9,CleanWater_NutrientCycling,Supporting
Nutrient fluxes – Si,Nutrient_fluxes_Si_Seafloor_Benthic,"Nutrient fluxes – Si
Seafloor
Benthic community",BGC,Seafloor,Benthic community,6,8,6,8,3,10,8,9,9,CleanWater_NutrientCycling,Supporting
Sediment pigment concentration,Sediment_pigment_Conc_Seafloor_Benthic,"Sediment pigment concentration
Seafloor
Benthic community",BGC,Seafloor,Benthic community,5,7,6,8,3,8,7,9,8,HabitatIntegrity,Regulating
Sediment porosity,Sediment_porosity_Seafloor,"Sediment porosity
Seafloor",BGC,Seafloor,,4,5,5,7,3,7,6,8,7,HabitatIntegrity,Regulating
Sediment total organic carbon,Sediment_total_organic_Seafloor,"Sediment total organic carbon
Seafloor",BGC,Seafloor,,5,6,6,8,3,9,7,9,9,CarbonStorage_Cycling,Regulating
Sediment total nitrogen,Sediment_total_nitrogen_Seafloor,"Sediment total nitrogen
Seafloor",BGC,Seafloor,,5,6,6,8,3,9,7,9,9,CarbonStorage_Cycling,Regulating
Sediment grain size,Sediment_grain_size_Seafloor,"Sediment grain size
Seafloor",BGC,Seafloor,,4,5,5,7,3,6,6,8,6,HabitatIntegrity,Regulating
Sediment bromide depth profile,Sediment_bromide_depth_Seafloor,"Sediment bromide depth profile
Seafloor",BGC,Seafloor,,3,4,4,7,2,7,6,7,6,CleanWater_NutrientCycling,Supporting
Sediment luminophore concentration (depth profile),Sediment_luminophore_Conc_Seafloor,"Sediment luminophore concentration (depth profile)
Seafloor",BGC,Seafloor,,4,5,5,7,3,7,6,8,7,HabitatIntegrity,Regulating
14 C org,14_C_org_Seafloor,"14 C org
Seafloor",BGC,Seafloor,,4,5,5,8,3,8,6,8,9,CarbonStorage_Cycling,Regulating
210 Pb,210_Pb_Seafloor,"210 Pb
Seafloor",BGC,Seafloor,,3,4,4,7,2,6,5,7,7,CarbonStorage_Cycling,Regulating
Bathymetry,Bathymetry_Seafloor,"Bathymetry
Seafloor",Geological,Seafloor,,6,6,7,8,5,6,7,9,5,HabitatIntegrity,Regulating
Acoustic backscatter,Acoustic_backscatter_WaterCol,"Acoustic backscatter
Water column",Physical,Water column,,6,7,6,6,4,6,7,7,5,NaturalProducts_Krill,Provisioning
